CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
5480205,2012,2013-06-22,1942,2012-01-23,2000,38314,1659,1,5,7,1942,0,0,0,P,0,9T55,"DAY ST","GOLDEN OAK DR",25.00,W,N,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,01,23152,A,N,E,I,A,B,H,-,C,A,0,,,,,Y,Y,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.27788267,34.253200280000001
5491678,2012,2013-07-20,1955,2012-02-26,2215,40620,4,7,5,6,1955,0,0,0,,0,001,"GAREY AV","2ND ST",48.00,N,N,B,-,N,,,,,,,,,,Y,4,0,3,2,A,-,01,23152,A,F,C,C,A,A,H,-,C,A,0,,,,,Y,Y,A,01,0,0,3,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES",POMONA,-117.75027183,34.057966200000003
5598772,2012,2013-07-13,1900,2012-02-26,2200,439951,BELLF,7,5,5,1908,0,0,0,,0,136F,"STEVENS AV","ALONDRA BL",500.00,N,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,08,22107,,N,C,C,A,A,H,-,C,D,0,,,,,Y,Y,A,,0,1,0,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES",BELLFLOWER,-118.13028518,33.890715909999997
5602387,2012,2013-08-14,1942,2012-04-14,0625,36607,0326,6,5,7,1942,0,0,0,C,0,3TL5,"NORMANDIE AV","ADAMS BL",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,2,2,A,-,01,23152,A,N,D,C,A,A,H,-,A,A,0,,,,Y,Y,Y,F,21,0,0,2,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.30028222999999,34.032724909999999
5617259,2012,2013-08-27,9565,2012-04-14,2125,20306,,6,2,9,1900,0,2,4,,1,054,"ADMIRALTY WY","BALI WY",450.00,N,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,01,23152,A,N,A,C,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",33.983400000000003,-118.4444,"LOS ANGELES",UNINCORPORATED,-118.44261063,33.983047640000002
5626650,2012,2014-02-07,9550,2012-05-06,2240,20227,,7,3,6,1920,0,1,1,,2,500,"RT 5","PARAMOUNT BL",150.00,S,N,A,-,Y,LA,7,5,-,-,8.865,R,2,N,N,4,0,1,2,A,-,03,22350,,N,A,C,A,A,H,-,D,C,1,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,FR,"- ",33.964599999999997,-118.1187,"LOS ANGELES",DOWNEY,-118.11993535000001,33.964232269999997
91626518,2021,2021-11-17,9525,2021-11-10,2110,022617,,3,2,9,1900,0,2,4,,2,022,"CYPRESS ST (17800 BLOCK)","HEATHDALE AVE (4500 BLOCK)",4.00,E,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,01,23152,A,N,C,C,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",34.095771789550781,-117.90093231201172,"LOS ANGELES",UNINCORPORATED,-117.90101623535156,34.095760345458984
91639765,2021,2021-12-01,9565,2021-11-23,2200,021855,,2,3,7,1942,0,1,1,,2,010,"I-105 W/B (CENTURY FREEWAY)","NASH ST",950.00,E,N,A,-,Y,,,105,,,,,,W,Y,3,0,1,2,A,-,01,23152,A,N,C,C,A,A,H,-,C,D,0,,,,,Y,Y,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",33.931259155273438,-118.38421630859375,"LOS ANGELES","LOS ANGELES",-118.38422393798828,33.931282043457031
91562581,2021,2021-09-03,9590,2021-08-25,0235,021823,,3,3,7,1942,0,1,1,,2,060,"I-10 E/B (SANTA MONICA FREEWAY)","GRAMERCY PL",100.00,E,N,A,-,Y,,,10,,,,,,E,Y,4,0,2,2,A,-,01,23152,A,N,C,C,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",34.037021636962891,-118.31308746337891,"LOS ANGELES","LOS ANGELES",-118.31308746337891,34.037014007568359
91583942,2021,2021-09-30,9525,2021-09-20,0401,019890,,1,3,6,1955,0,1,1,,2,109,"I-10 W/B (SAN BERNARDINO FWY)","WHITE AVE.",300.00,W,N,A,-,Y,,,10,,,,,,W,Y,3,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",34.070911407470703,-117.76235198974609,"LOS ANGELES",POMONA,-117.76235198974609,34.070934295654297
91587497,2021,2021-10-13,9565,2021-09-22,0805,017289,,3,1,9,1900,0,3,5,,2,003,"CENTINELA AVE","ALVERN ST",14.00,W,N,A,-,N,,,,,,,,,,Y,4,0,3,3,A,-,08,22107,,N,A,C,A,A,H,-,A,A,0,,,,,Y,Y,A,01,0,0,3,0,0,0,0,0,0,"- ","- ",33.97705078125,-118.37699127197266,"LOS ANGELES",UNINCORPORATED,-118.37691497802734,33.977249145507812
91599284,2021,2021-10-18,9525,2021-10-10,0230,022521,,7,3,6,1975,0,1,1,,2,106,"I-10 E/B (SAN BERNARDINO FWY)","GRAND AVE.",200.00,E,N,A,-,Y,,,,,,,,,,Y,3,0,2,2,A,-,01,23152,A,N,B,C,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,1,1,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","WEST COVINA",-117.87203979492188,34.071689605712891
91599708,2021,2021-10-19,9550,2021-10-17,0404,022239,,7,3,3,1964,0,1,1,,2,650,"I-605 S/B TO I-5 S/B","I-5 N/B",5.00,S,N,A,-,Y,,,605,,,,R,,S,N,2,0,1,2,A,-,01,23152,A,N,C,C,A,D,H,-,C,D,0,,,,,Y,Y,A,07,1,0,0,0,0,0,0,0,0,"- ","- ",33.9427490234375,-118.09713745117188,"LOS ANGELES","SANTA FE SPRINGS",-118.09713745117188,33.9427490234375
91624350,2021,2021-11-15,9580,2021-11-07,0420,022550,,7,3,7,1942,0,1,2,,2,104,"US-101 N/B (VENTURA FREEWAY)","WHITE OAK AVE",1584.00,N,N,A,-,Y,,,101,,,,,,N,Y,4,0,1,2,A,-,01,23152,A,N,C,C,A,A,H,-,D,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",34.171279907226562,-118.52381896972656,"LOS ANGELES","LOS ANGELES",-118.52381896972656,34.171283721923828
91338493,2020,2020-11-03,9575,2020-10-24,1015,021955,,6,1,7,1942,0,1,3,,2,070,"SR-118 W/B (RONALD REAGAN FREEWAY)","SAN FERNANDO RD.",810.00,E,N,A,-,Y,,,118,,,,,,W,Y,3,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,D,0,,,,,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",34.274200439453125,-118.42691802978516,"LOS ANGELES","LOS ANGELES",-118.42684936523438,34.274105072021484
91360448,2020,2020-12-07,9575,2020-11-29,0232,021566,,7,3,7,1942,0,1,1,,2,052,"I-5 N/B (GOLDEN STATE FREEWAY)","PENROSE ST. U/C",1119.00,S,N,A,-,Y,,,5,,,,,,N,Y,2,0,1,2,A,-,01,23152,A,N,C,C,A,A,H,-,D,D,0,,,,Y,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",34.224231719970703,-118.37258148193359,"LOS ANGELES","LOS ANGELES",-118.37259674072266,34.224212646484375
91380565,2020,2021-01-05,9535,2020-12-26,0140,022286,,6,3,4,1907,0,1,1,,2,072,"I-710(LBF) S/B TO FLORENCE AVE W/B","FLORENCE AVE",565.00,N,N,A,-,Y,,,710,,,,R,,S,Y,3,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,C,D,0,,,,,Y,Y,A,08,0,1,0,0,0,0,0,0,0,"- ","- ",33.969928741455078,-118.16822814941406,"LOS ANGELES",BELL,-118.16822814941406,33.969928741455078
91441684,2021,2021-04-02,9550,2021-03-29,0300,022403,,1,3,5,1919,0,1,1,,2,652,"INTERSTATE 605 S/B","ARTESIA BOULEVARD UNDERCROSSING",1362.00,S,N,A,-,Y,,,605,,,,,,S,Y,3,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",33.870151519775391,-118.10077667236328,"LOS ANGELES",CERRITOS,-118.10043334960938,33.870277404785156
91454241,2021,2021-04-20,9530,2021-04-11,2050,021871,,7,2,5,1943,0,1,1,,2,210,"I-105 W/B (GLENN ANDERSON FWY)","HARRIS AVE.",200.00,W,N,A,-,Y,,,105,,,,,,W,Y,4,0,2,3,A,-,01,23152,A,N,B,C,A,A,H,-,C,D,0,,,,,Y,Y,D,22,0,0,2,0,0,0,0,0,0,"- ","- ",33.919818878173828,-118.19788360595703,"LOS ANGELES",LYNWOOD,-118.19789886474609,33.919776916503906
91538984,2021,2021-08-06,9565,2021-07-27,2310,022231,,2,3,9,1900,0,1,1,,2,012,"I-105 WB","YUKON AVE",1500.00,W,N,A,-,Y,,,,,,,,,,Y,3,0,2,2,A,-,01,23152,A,N,B,C,A,A,H,-,C,B,0,,,,,Y,Y,A,01,0,2,0,0,0,0,0,0,0,"- ","- ",33.926689147949219,-118.33972930908203,"LOS ANGELES",UNINCORPORATED,-118.33540344238281,33.925258636474609
91123540,2019,2019-11-19,9550,2019-10-26,0145,020795,,6,3,9,1900,0,3,5,,2,002,"SANTA GERTRUDES AVENUE","LEFFINGWELL ROAD",580.00,S,N,A,-,N,,,,,,,,,,Y,3,0,2,2,A,-,01,23152,A,N,D,C,A,A,H,-,C,D,0,,,,,Y,Y,D,22,0,1,1,0,0,0,0,0,0,"- ","- ",33.929611206054688,-117.99379730224609,"LOS ANGELES",UNINCORPORATED,-117.99382019042969,33.929679870605469
91132770,2019,2019-12-02,9580,2019-11-17,0107,021963,,7,3,7,1942,0,1,3,,2,117,"SR-118 W/B (RONALD REAGAN FWY.)","TAMPA AVE",1056.00,E,N,A,-,Y,,,118,,,,,,W,N,2,0,1,2,C,-,18,,,N,G,B,E,A,H,-,C,D,0,Y,,,,Y,Y,-,"- ",1,0,0,0,1,0,0,0,0,"- ","- ",34.272968292236328,-118.55101776123047,"LOS ANGELES","LOS ANGELES",-118.55104827880859,34.273059844970703
91144365,2019,2019-12-16,9525,2019-12-09,0235,021443,,1,3,5,1906,0,1,1,,2,104,"I-10 E/B (SAN BERNARDINO FWY)","PUENTE AVE",150.00,E,N,A,-,Y,,,10,,,,,,E,Y,3,0,1,2,A,-,01,23152,A,N,C,C,A,A,H,-,C,D,0,,,,Y,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",34.069751739501953,-117.96314239501953,"LOS ANGELES","BALDWIN PARK",-117.96315765380859,34.069915771484375
91174847,2020,2020-01-28,9575,2020-01-12,0030,021640,,7,3,5,1902,0,1,1,,2,065,"I-210 E/B (FOOTHILL FREEWAY)","SANTA ANITA AVE",100.00,E,N,A,-,Y,,,210,,,,,,E,Y,3,0,2,2,A,-,01,23152,A,N,F,A,A,A,H,-,D,D,0,,,Y,,Y,Y,C,02,0,1,1,0,0,0,0,0,1,"- ","- ",34.147621154785156,-118.03111267089844,"LOS ANGELES",ARCADIA,-118.0311279296875,34.147560119628906
91225948,2020,2020-04-15,9565,2020-04-05,0025,022057,,7,3,7,1942,0,1,1,,2,083,"I-10 WB (SANTA MONICA FREEWAY)","MANNING AVE",50.00,W,N,A,-,Y,,,10,,,,,,W,Y,3,0,1,3,A,-,01,23152,A,N,E,J,A,A,D,-,C,D,0,,,,,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",34.029979705810547,-118.40583038330078,"LOS ANGELES","LOS ANGELES",-118.40583038330078,34.029975891113281
91226777,2020,2020-04-17,9530,2020-04-10,0230,020726,,5,3,7,1941,0,1,1,,2,072,"I-710 S/B (LONG BEACH FREEWAY)","DEL AMO BLVD.",300.00,S,N,B,C,Y,,,,,,,,,,Y,3,0,1,1,A,-,01,23152,A,N,E,I,A,B,H,-,C,D,0,,,,,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",33.50421142578125,-118.12214660644531,"LOS ANGELES","LONG BEACH",-118.20574951171875,33.845752716064453
90629312,2017,2017-12-29,9550,2017-12-23,1910,021123,,6,2,5,1908,0,1,3,,2,091,"SR-91 W/B","INTERSTATE 605 (SAN GABRIEL RIVER FREEWA",2100.00,W,N,A,-,Y,,,91,,,,,,W,Y,4,0,1,2,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",33.877009999999999,-118.10965,"LOS ANGELES",BELLFLOWER,-118.10964762,33.877031680000002
90761457,2018,2018-07-03,9565,2018-06-13,0330,022056,,3,3,9,1900,0,2,4,,2,031,"LA CIENEGA BLVD. TO STOCKER ST.","LA CIENEGA BLVD.",40.00,E,N,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",33.998001098632812,-118.36940002441406,"LOS ANGELES",UNINCORPORATED,-118.37424468994141,34.032436370849609
90771074,2018,2018-07-23,9530,2018-07-16,2030,021490,,1,2,9,1900,0,3,5,,2,006,"VERMONT AVE. (21000 BLOCK)","JAVELIN ST.",750.00,S,N,A,-,N,,,,,,,,,,Y,3,0,2,2,A,-,01,23152,A,F,C,C,A,A,H,-,C,D,0,,,,,Y,Y,A,07,0,1,1,0,0,0,0,0,0,"- ","- ",33.83673095703125,-118.29029083251953,"LOS ANGELES",UNINCORPORATED,-118.29029083251953,33.836830139160156
90780241,2018,2018-07-30,9525,2018-07-15,1540,020951,,7,2,5,1990,0,1,3,,2,604,"SR-60 E/B (POMONA FWY)","DIAMOND BAR BLVD.",1200.00,E,N,A,-,Y,,,60,,,,,,E,Y,2,0,4,2,A,-,01,23152,A,N,C,E,A,A,H,-,A,D,0,,,,,Y,Y,A,01,3,1,0,0,0,0,0,0,0,"- ","- ",34.024810791015625,-117.80880737304688,"LOS ANGELES","DIAMOND BAR",-117.80873870849609,34.024623870849609
90945484,2019,2019-03-13,9550,2019-03-02,0355,021578,,6,3,9,1900,0,1,3,,2,600,"SR-60 E/B","7TH AVENUE",400.00,W,N,C,-,Y,,,60,,,,,,E,Y,4,0,1,2,A,-,01,23152,A,N,C,C,A,B,H,-,C,D,0,,,,Y,Y,Y,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",34.021659851074219,-117.990478515625,"LOS ANGELES",UNINCORPORATED,-117.99040985107422,34.021728515625
91089490,2019,2019-10-03,9545,2019-09-24,1730,021173,,2,2,9,1900,0,2,4,,1,024,"ELIZABETH LAKE RD","SAN FRANCISQUITO CANYON RD",186.00,W,N,A,-,N,,,,,,,,,,Y,3,0,2,2,A,-,01,23152,A,N,A,C,A,A,H,-,A,D,0,,,,,Y,Y,A,01,0,2,0,0,0,0,0,0,0,"- ","- ",34.649318695068359,-118.37696075439453,"LOS ANGELES",UNINCORPORATED,-118.37697601318359,34.649280548095703
90451249,2017,2017-05-08,9550,2017-01-14,0007,020795,,6,3,3,1903,0,1,3,,2,091,"STATE ROUTE 91 EB TO PIONEER BOULEVARD","PIONEER BOULEVARD",171.00,W,N,B,-,Y,,,91,,,,R,,E,Y,1,1,5,1,A,-,08,22107,,N,E,I,A,A,H,-,C,D,0,,,,,Y,Y,A,07,4,1,0,0,0,0,0,0,0,"- ","- ",33.875190000000003,-118.08302,"LOS ANGELES",ARTESIA,-118.08302,33.875190000000003
90470920,2017,2017-07-31,9525,2017-05-21,0312,021156,,7,3,4,1946,0,1,1,,2,201,"I-210 W/B (FOOTHILL FWY)","MOUNTAIN AVE",300.00,W,N,A,-,Y,,,210,,,,,,W,Y,3,0,3,2,A,-,01,23152,A,N,C,C,A,A,H,-,C,D,0,,,,Y,Y,Y,A,01,0,3,0,0,0,0,0,0,0,"- ","- ",34.135559999999998,-117.99129000000001,"LOS ANGELES",MONROVIA,-117.99128992999999,34.135592879999997
90483881,2017,2017-06-22,9550,2017-06-17,1325,021202,,6,1,9,1900,0,3,5,,2,002,"MILLS AVENUE","MULBERRY DRIVE",125.00,N,N,A,-,N,,,,,,,,,,Y,4,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,Y,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",33.943129999999996,-118.02719999999999,"LOS ANGELES",UNINCORPORATED,-118.0272743,33.943016729999997
90545414,2017,2017-09-12,9525,2017-08-27,2150,021280,,7,2,5,1990,0,1,3,,2,602,"SR-60 E/B (POMONA FWY)","GRAND AVE",1000.00,W,N,A,-,Y,,,60,,,,,,E,Y,4,0,5,3,A,-,01,23152,A,N,C,C,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,0,5,0,0,0,0,0,0,"- ","- ",34.007640000000002,-117.82556,"LOS ANGELES","DIAMOND BAR",-117.82565065,34.00773306
90589806,2017,2017-11-08,9530,2017-10-29,0430,021623,,7,3,7,1941,0,1,1,,2,071,"I-710 N/B (LONG BEACH FREEWAY)","ARTESIA BLVD.",150.00,S,N,A,-,Y,,,710,,,,,,N,Y,4,0,1,1,A,-,01,23152,A,N,B,I,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",33.865879999999997,-118.19695,"LOS ANGELES","LONG BEACH",-118.19707927,33.86595887
90595967,2017,2017-11-16,9590,2017-10-24,0245,019805,,2,3,7,1942,0,1,1,,2,013,"SR-110 S/B (ASP) TO I-5 (GSF)","AVE. 26",530.00,N,N,A,-,Y,,,110,,,,R,,S,Y,3,0,2,1,A,-,01,23152,A,N,E,I,A,A,H,-,C,D,0,,,,,Y,Y,A,07,0,1,1,0,0,0,0,0,0,"- ","- ",34.083759999999998,-118.21978,"LOS ANGELES","LOS ANGELES",-118.21978,34.083759999999998
90306253,2016,2016-10-28,9535,2016-10-18,1330,020814,,2,1,6,1922,0,1,1,,2,400,"I-10 E/B FROM BALDWIN AVE.","BALDWIN AVE.",300.00,E,N,A,-,Y,,,10,,,,R,,E,Y,4,0,1,3,A,-,01,23152,A,N,C,C,A,A,H,-,A,A,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",34.071399999999997,-118.05240000000001,"LOS ANGELES","EL MONTE",-118.05240000000001,34.071399999999997
90317751,2016,2016-11-14,9540,2016-10-28,1932,020837,,5,2,9,1900,0,2,4,,1,201,"SIERRA HIGHWAY (13700 BLOCK)","ROWHER CANYON RD",1430.00,N,N,B,-,N,,,,,,,,,,Y,2,0,3,2,A,-,01,23152,A,N,A,C,A,A,H,-,D,D,0,,,,,Y,Y,A,01,3,0,0,0,0,0,0,0,0,"- ","- ",34.505229999999997,-118.37269999999999,"LOS ANGELES",UNINCORPORATED,,
90382761,2017,2017-02-28,9580,2017-01-22,1235,020451,,7,1,7,1942,0,1,1,,2,406,"I-405 N/B (SAN DIEGO FWY)","ROSCOE BLVD",75.00,N,N,C,-,Y,,,405,,,,,,N,Y,4,0,1,2,A,-,03,22350,,N,B,C,A,B,H,-,A,D,0,,,,,Y,Y,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",34.221890000000002,-118.47311000000001,"LOS ANGELES","LOS ANGELES",-118.47308227000001,34.22188972
90391833,2017,2017-02-13,9540,2017-02-09,2332,021360,,4,3,6,1985,0,1,3,,1,144,"SR-14 (N/B) (ANTELOPE VALLEY FREEWAY)","GOLDEN VALLEY RD",1808.00,N,N,A,-,Y,,,14,,,,,,,Y,3,0,6,5,A,-,01,23152,A,N,C,C,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,1,5,0,0,0,0,0,0,"- ","- ",34.395569999999999,-118.46648999999999,"LOS ANGELES","SANTA CLARITA",-118.46655414999999,34.395690469999998
90392055,2017,2017-02-13,9590,2017-02-05,0330,021502,,7,3,7,1942,0,1,2,,2,071,"US-101 S/B (HOF) TO I-110 S/B (HAF)","N BEAUDRY AVENUE",416.00,S,N,A,-,Y,,,101,,,,R,,S,Y,3,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,C,D,0,,,,,Y,Y,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",34.06306,-118.24964,"LOS ANGELES","LOS ANGELES",-118.24964,34.06306
