CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
0682021,2021,2021-07-21,3709,2021-06-08,0855,NC0528,,2,5,5,3709,0,0,0,,0,021,"EAST PLAZA BL","E PLAZA BL 1645",0.00,,-,A,-,N,,,,,,,,,,N,4,0,2,2,A,-,09,21804,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,Y,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",,,"SAN DIEGO","NATIONAL CITY",-117.10619354248047,32.674121856689453
5403147,2012,2012-02-09,3700,2012-01-09,1740,SH1504,,1,5,5,3712,0,0,0,,0,355,"OLEANDER AV","ALAMITOS WY",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,11,21956,,F,G,B,E,A,G,-,D,D,0,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",,,"SAN DIEGO","SAN MARCOS",-117.207202,33.15307482
5403289,2012,2014-04-07,9645,2012-02-04,0354,019563,,6,3,6,3702,0,1,1,,2,009,"RT 805","BONITA RD",1465.00,N,N,A,-,Y,SD,11,805,-,-,8.070,H,-,N,N,1,1,0,2,A,-,11,21954,A,N,G,B,E,A,H,-,D,D,1,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,"- ","- ",32.651409999999998,-117.06737,"SAN DIEGO","CHULA VISTA",-117.06571221999999,32.65030728
5403311,2012,2014-04-07,3711,2012-02-18,0209,5916,,6,5,7,3711,0,0,0,,0,437,"SOUTH WOODMAN ST","RAMFOS PL",279.00,N,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,03,22350,,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.04267086999999,32.682065170000001
5403566,2012,2012-04-06,9645,2012-02-12,0325,14625,,7,3,7,3711,0,1,3,,2,023,"RT 8","RT 163",80.00,S,N,B,-,Y,SD,11,163,-,-,3.643,R,2,N,Y,1,1,3,1,A,-,01,23152,A,N,F,A,A,A,H,-,C,D,1,,,,,Y,Y,A,01,2,1,0,0,0,0,0,0,0,FR,"- ",32.761830000000003,-117.16297,"SAN DIEGO","SAN DIEGO",-117.16301185,32.760894800000003
5403600,2012,2012-04-04,9650,2012-02-05,1540,17655,,7,2,9,3700,0,3,5,,2,190,"RICHLAND RD","TUSCANY AVE",550.00,S,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23152,A,N,E,I,A,A,H,-,A,A,0,,,,,Y,Y,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",33.159260000000003,-117.14122999999999,"SAN DIEGO",UNINCORPORATED,-117.1413512,33.159402610000001
5448723,2012,2013-10-22,9645,2012-01-02,0343,19445,,1,3,7,3711,0,1,3,,2,006,"RT 94","RT 15",77.00,W,N,A,-,Y,SD,11,94,-,-,3.127,R,3,E,Y,3,0,2,1,A,-,08,22107,,F,E,I,A,A,H,-,C,D,1,,,,,Y,Y,D,22,0,2,0,0,0,0,0,0,0,TO,"- ",32.716290000000001,-117.11908,"SAN DIEGO","SAN DIEGO",-117.11910184,32.71618479
5448769,2012,2013-06-06,3711,2012-01-15,0051,4308,,7,5,7,3711,0,0,0,,0,837,"GATEWAY DR","HOME AV",86.00,N,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,08,22107,,N,C,E,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.10774977,32.723402640000003
5449065,2012,2013-07-19,3701,2012-01-18,2234,5238,72,3,5,5,3701,0,0,0,,0,006,"PASEO DEL NORTE","PALOMAR AIRPORT RD",210.00,S,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,01,23152,A,N,D,E,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",33.123330000000003,-117.31950000000001,"SAN DIEGO",CARLSBAD,-117.31913742,33.121529750000001
5449343,2012,2013-06-15,3711,2012-01-19,2320,4576,,4,5,7,3711,0,0,0,,0,821,"EL CAJON BL 6600","MONTEZUMA RD",56.00,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,C,A,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",,
